Horizon (L),MSE_ILI,MAE_ILI,Peak Hit,Timing (wk),Peak Int. (%),Direction,Peak Hit count,Missed peaks
24,5.0559±1.5832,1.5004±0.1210,0.5000 (thr 0.75),0.5000 (thr 2.0),31.7334 (thr 20.0),0.6961 (thr 0.60),2/4,2
36,6.8340±0.9366,1.6798±0.0927,0.5000 (thr 0.75),1.0000 (thr 2.0),24.3729 (thr 20.0),0.6667 (thr 0.60),2/4,2
48,6.4049±0.9117,1.6505±0.0810,0.5000 (thr 0.75),1.5000 (thr 2.0),32.3747 (thr 20.0),0.6961 (thr 0.60),2/4,2
60,7.0704±0.7236,1.7009±0.0739,0.5000 (thr 0.75),1.5000 (thr 2.0),35.4329 (thr 20.0),0.6618 (thr 0.60),2/4,2
